number,Questions,Answers,Texts,Score
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,used contains character special termination character called null character,5.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,char read individual character literal read entire,3.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,hold many size limited,4.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,sting modified function class modified user,3.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,contains additional terminating null character,4.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,null character 0 end signify end,5.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,part list one actually able pointed detected,3.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,set length virtually unlimited length,4.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,char individual letter accessed directly subscript notation subscript return entire,2.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,need termination character well size specification whether explicit implicit,5.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,individual accessed manipulated,2.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,could result data loss character initialized large enough,4.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,passed reference therefore changed memory changed variable,3.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,several built function available char individual directly accessible,3.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,declaring includes white space declaring character include white space,1.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,one element doesnt termination element null,5.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,vary length extend past length,4.0
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,cant modify individual character modify individual,2.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,class safer,3.5
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared using array character null element added end array,collection similar data type ex int 10 ten indicates size index give integer value mean collection group declaration data type usually cause storage allocated memory capable holding predetermined number symbol however array contain value non reference data multiple array,2.5
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference pointer element array,4.5
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference individual array element value take argument function prototype may include parameter name const array parameter,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,must pas array size function ex function array size,4.0
4.3,How are arrays passed to functions?,reference,usually way pas anything else specify length char array pas function sending name array example char star 20 is palindrome star sends char array function is palindrome otherwise would need send length array well,3.5
4.3,How are arrays passed to functions?,reference,pas pointer first item also pas size,3.5
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,two part array size function avoid bound error,4.0
4.3,How are arrays passed to functions?,reference,specify array name without bracket array size normally another argument function process specific number element array reference individual array element value take argument,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,way declaration actual function,3.0
4.3,How are arrays passed to functions?,reference,specify array name without bracket,3.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,pas name array function int bin 10 pas array like jingle bin jingle must declared correctly order receive array either prototype void jingle int definition initialization void jingle int array also worth noting function reference copy large burn memory give function complete control array however,5.0
4.3,How are arrays passed to functions?,reference,called function function must loop array get set character,2.0
4.3,How are arrays passed to functions?,reference,reference default unless specify const later make array unmodifiable,5.0
4.3,How are arrays passed to functions?,reference,function receives array array size parameter function array name array size,4.0
4.3,How are arrays passed to functions?,reference,specifying array name passing reference argument function,5.0
4.3,How are arrays passed to functions?,reference,1st must specify array name without bracket array name size two argument function call,4.0
4.3,How are arrays passed to functions?,reference,reference passing starting address array programmer specifies array name without bracket pass array size another argument function process specific number element array,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,function int int length,4.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,reference,5.0
4.3,How are arrays passed to functions?,reference,function read variable store return ever variable read function print content array,2.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,store new value assigned element meaning call function twice use last value returned first time declare new value stored reset original value,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,referenced accessed also array used without creating object,4.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,created initialized time function also destroyed function terminates,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,program initialized local array declaration first encountered initialized explicitely programmer earch element intialized zero compiler created non member cannot initialized c,4.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,array remain size throughout program execution,4.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,initialized non initialized program reach initializing line,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,available beginning program end w declaration disappears accessed within right scope,4.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,pre runtime size size cannot changed dynamic get size runtime,3.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,created time called,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,initialize every time function declaring called initialize declaration store value element throughout duration program even function called multiple time initialize,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,element initialized zero explicitly initialized happen automatic local array,4.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,element initialized zero explicitly initialized non initialized zero,4.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,cannot changed,3.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,set size cannot change data may need space assigned could go beyond size,4.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,member prevents naming conflict put global namespace allowing information hiding private public,3.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,local exists duration program element initialized 0 explicitly initialized local element still called later unless specifically initialized something else happen automatic array,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,array size known program whereas non array leave size undeclared open assigned later usually used input purpose,3.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,array keep value end function non reinitialize every time,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,array created initialized value destroyed function terminates program automatic array reset overtime function called,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,created initialized time program call function destroyed every time function end program,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,declare destroyed function created initialized every time function call,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,exists duration program,4.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,,3.5
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,exists memory program terminates whereas automatic normal removed function created terminates,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,answered,0.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,constant used declare size automatic array exists duration program initialized declaration first encountered element initialized zero explicitly initialized,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,cannot changed program,3.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,array available throughout program,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,allocated program start freed program exit limited scope allocated freed come scope,5.0
4.4,"What is the difference between an array declared as static, and one that is not?",array declared static live throughout life program initialized function declares array first called,fixed mean change size storage allocated however dynamic array resized,3.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,least 2 depending array used,2.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,,3.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,must except first dimension,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,depends parameter multidimensional multidimensional two,3.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,first dimension required however subsequent dimension needed compiler,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,first,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,must,3.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,first one least,2.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,two parameter column 3,4.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,size first dimension omitted regular however every dimension outside first size must passed example 2 4 6 name multi array would passed multi array 4 6 2,4.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,size subsequent required compiler must know element skip move second element first dimension,4.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,every dimension first,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,,2.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,size first dimension,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,main multidimensional,2.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,except first one compiler need know memory address skip make back 2nd element first dimension size first dimension,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,commonly row column,3.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,least 2 always equal number expecting like blah require 4 input blah require 3 blah require 2,3.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,none pas name,2.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,subsequent first dimension first needed,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,excluding first one,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,first,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,first need size rest stated first like 3,3.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,one le number contains,4.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,answered,0.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,one,2.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,subsequent first one,5.0
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,two,2.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,1 le total number,4.5
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,dimension except first one,array accessed using 1 index one dimension least,3.5
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,using,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,program compile execute error difficult debug,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,execution,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,compiler complain variable referring never declared,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,runtime,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,answered,0.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,1.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,cause either give give value actual location memory causing logic,5.0
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,usually followed column programmer determine value,2.5
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,multi,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,two array row column matrix first index indicates row second indicates column mean array element accessed order actually right index change faster left,4.5
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,n row column,4.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,column,1.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,1.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,row,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,x row column x since length row needed passing array function lead believe time,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,seperate section,2.5
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,4.5
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,row column,2.5
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,,5.0
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",row,answer,1.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,take element array compare next element depending value two element switch program compare new switched element next array,3.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,divide list sorted unsorted region take item unsorted region insert correct order sorted region,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,sorted array list built entry time,3.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,start second element check see le element left insert corrected position,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,compare two number time swap entire list sorted,2.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,assume first number sorted move list insert number come across corresponding place sorted side list,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,k iteration first k item array sorted take k + 1 item insert correct position already sorted k element,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,looking 2nd element move forward place element correct spot,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,starting beginning array take element order place correct position relative previously sorted element,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,element array removing element input data inserting correct position,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,remove element data insert correct position already sorted list,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,take number choose pivot point insert number correct position pivot point,3.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,marker everything left value every new value moving right,3.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,behind take random variable right insert order left,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,progress list element determines next element inserted already sorted array starting sorting using first two element,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,go list picking integer putting desired position continuing,4.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,inserting array item appropriate position smallest largest pivot start second element array,3.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,insert item proper position shifting larger sorted array value right,3.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,comparison sorted array built entry time,4.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,algorithm first element array sorted list pick taken unsorted array sorted array,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,every iteration take away element input data inserting right position sorted list,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,creates new array insert item place respect new array,4.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,take entity unsorted array order sort correct position entity sorted,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,take second element swap 1st le keep larger go third element insert right place respect first 2 element,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,starting first element array following element put place determining smaller larger starting element,4.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,item taken placed correct place sorted portion array item,4.5
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,take element insert correct position respect element,5.0
5.1,"In one sentence, what is the main idea implemented by insertion sort?",taking one array element time left right insert right position among already sorted element left,simple sorting algorithm comparison sorted array list built entry time,4.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,search array largest smallest element moved front array search next largest smallest element move front,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,search whole array largest item put end array search second largest item put second last spot,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find minimum value swap value first position,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find minimum element array swap first element repeat step swapping minimum element nth position array,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find lowest value place front find next lowest place front last value etc,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,cycle unsorted list place minimum next slot sorted list repeat,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find minimum value list swap first element list find second largest swap second element array continue like array sorted,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find smallest put current position till get end,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find lowest unsorted value array place current position starting first element array advance current position,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,element comparing two element swapping smaller element array,3.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find minimum value list swap first value list repeat throughout list,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,select minimum number array put current position move,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find lowest value place front list swap value continue moving right,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,behind take least variable right put directly left,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find smallest value list make first element find smallest value leftover list make first element leftover list continue list sorted,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,run find lowest highest value put desired position,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,place smallest item list position 1 proceeds value last position ray reached,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,search largest item array swap last unsorted item,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find smallest element place 1st position process repeated rest array,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,algorithm selects large item array put place select next largest array sorted,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,select smallest number list move front list advance next number,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,chooses largest smallest value unsorted list creates new list using depending sorted,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find smallest number left unsorted array put end sorted,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,selects minimum remaining element array places minimum current position move next position,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,put biggest element end list place next highest element behind,3.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find largest item place end next largest found placed next last continue number left beginning sorted array,4.5
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,loop entire list iteration find smallest element move current position,5.0
5.2,"In one sentence, what is the main idea implemented by selection sort?",taking one array element time left right identifies minimum remaining element swap current element,find minimum value list swap value first position repeat step remainder list starting second position,5.0
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,run time sorting program n ^ 2 list already sorted worst list sorted reverse,3.5
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,n performs n 1 list array already sorted,4.5
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,insertion n n 1 2 sorted list run n,3.0
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,would n n 1 take scan array make one swap array would sorted would take 1 operation,4.0
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,1 worst n,2.0
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",n length array operation achieved sorted array,n n element array element already sorted,5.0
